Bus,x,y,country,carrier,cluster,avg_load_MW,total_gen_MW,dominant_carrier
1,36.9159,-1.2579,KE,AC,KE.30_1_AC,381.9201379989395,110.29850908912893,oil
2,35.263,0.5008,KE,AC,KE.44_1_AC,40.32700499108989,8.010636082601911,solar
4,37.6877,-0.8056,KE,AC,KE.22_1_AC,63.98305880012171,241.20227458629157,ror
5,35.3587,1.9117,KE,AC,KE.47_1_AC,21.885368461842805,18.38214013252646,solar
9,36.9455,-1.1639,KE,AC,KE.13_1_AC,0.0,0.0,none
12,36.3333,-0.9004,KE,AC,KE.31_1_AC,107.3505704892854,190.48162942505542,geothermal
15,36.8325,-1.7735,KE,AC,KE.10_1_AC,54.49527118417265,55.14233035632489,solar
16,37.6857,0.1046,KE,AC,KE.26_1_AC,49.432756144793004,12.464792373892386,solar
19,37.068,-0.0016,KE,AC,KE.36_1_AC,35.68432675237137,3.6579234037757193,solar
22,37.8881,-0.6002,KE,AC,KE.6_1_AC,23.715612100650514,6.489741083584713,solar
24,35.0541,1.0113,KE,AC,KE.42_1_AC,33.38370162088548,4.531776300512491,solar
30,37.5421,0.2519,KE,AC,KE.26_1_AC,0.0,0.0,none
32,34.8308,-0.0313,KE,AC,KE.17_1_AC,41.429774666615025,4.354079451679881,solar
33,37.0288,-0.4314,KE,AC,KE.36_1_AC,0.0,0.0,none
35,36.9908,-1.2825,KE,AC,KE.22_1_AC,0.0,0.0,none
36,36.7178,-1.182,KE,AC,KE.13_1_AC,0.0,0.0,none
38,36.3586,-1.0634,KE,AC,KE.10_1_AC,19.197431893621896,458.008740727944,onwind
41,39.5617,-3.9325,KE,AC,KE.14_1_AC,175.77393397929643,406.44816796393343,oil
44,34.7826,-0.059,KE,AC,KE.17_1_AC,0.0,113.44478695616053,ror
45,35.1513,-0.2113,KE,AC,KE.12_1_AC,110.78779377096855,71.2686280170918,oil
48,35.2976,0.2211,KE,AC,KE.32_1_AC,212.81952152450364,98.03462837727852,ror
49,35.649,-0.0635,KE,AC,KE.31_1_AC,0.0,0.0,none
52,37.5911,-0.8621,KE,AC,KE.6_1_AC,0.0,0.0,none
53,36.0319,-0.282,KE,AC,KE.31_1_AC,0.0,35.0,geothermal
54,37.7254,-2.2281,KE,AC,KE.23_1_AC,32.95893982354356,18.800635320935758,solar
55,36.2535,-0.8875,KE,AC,KE.31_1_AC,0.0,416.5,geothermal
57,37.1265,-1.1636,KE,AC,KE.13_1_AC,163.1257051479186,91.89693491259762,oil
59,36.9537,-1.4588,KE,AC,KE.22_1_AC,0.0,163.2,oil
60,38.5716,-3.3906,KE,AC,KE.39_1_AC,19.369004301615114,18.50782314461366,solar
61,37.1898,-1.6508,KE,AC,KE.23_1_AC,0.0,0.0,none
66,37.8126,-0.8112,KE,AC,KE.6_1_AC,56.109930865736935,215.63892157702747,solar
68,35.3625,1.4489,KE,AC,KE.47_1_AC,0.0,0.0,none
70,36.1387,-0.3036,KE,AC,KE.31_1_AC,0.0,0.0,none
80,39.4687,-3.8781,KE,AC,KE.19_1_AC,0.0,0.0,none
81,36.4619,-0.7985,KE,AC,KE.31_1_AC,0.0,0.0,none
83,36.8747,-1.3395,KE,AC,KE.30_1_AC,0.0,53.0,oil
84,36.9087,-1.3746,KE,AC,KE.30_1_AC,0.0,0.0,none
89,39.4129,-3.7942,KE,AC,KE.14_1_AC,0.0,0.0,none
103,37.2394,-0.6416,KE,AC,KE.15_1_AC,30.510302340746033,22.465453481468494,ror
