cluster,CCGT,geothermal,oil,onwind,ror,solar
KE.10_1_AC,0.0,0.0,0.0,262.156617808008,0.0,250.99445327626083
KE.12_1_AC,0.0,0.0,60.0,0.8865191962862616,0.0,10.38210882080553
KE.13_1_AC,0.0,0.0,87.0,0.21338697177423618,0.0,4.683547940823378
KE.14_1_AC,53.90359969706636,0.0,275.9,43.49805096761587,0.0,33.146517299251215
KE.15_1_AC,0.0,0.0,0.0,0.0,20.0,2.465453481468493
KE.17_1_AC,0.0,0.0,0.0,0.0,113.44478695616053,4.354079451679881
KE.22_1_AC,0.0,0.0,163.2,2.251205763189303,225.0,13.951068823102277
KE.23_1_AC,0.0,0.0,0.0,3.5645582534635207,0.0,15.236077067472236
KE.26_1_AC,0.0,0.0,0.0,3.313181881058073,0.0,9.151610492834314
KE.30_1_AC,0.0,0.0,162.0,0.0,0.0,1.2985090891289273
KE.31_1_AC,0.0,591.5,0.0,11.383237993908617,0.0,39.0983914311468
KE.32_1_AC,0.0,0.0,0.0,2.0882374043219185,60.0,35.94639097295661
KE.36_1_AC,0.0,0.0,0.0,0.15281148986486595,0.0,3.5051119139108535
KE.39_1_AC,0.0,0.0,0.0,5.866822959740203,0.0,12.641000184873459
KE.42_1_AC,0.0,0.0,0.0,0.0,0.0,4.531776300512491
KE.44_1_AC,0.0,0.0,0.0,0.414646836142599,0.0,7.595989246459312
KE.47_1_AC,0.0,0.0,0.0,2.177113519275042,0.0,16.205026613251416
KE.6_1_AC,0.0,0.0,0.0,95.29661150035622,0.0,126.83205116025597
