bus,CCGT,geothermal,offwind-ac,offwind-dc,oil,onwind,ror,solar
KE.10_1_AC,0,0,0,0,0,0,0,0
KE.12_1_AC,0,0,0,0,0,0,0,0
KE.13_1_AC,0,0,0,0,0,0,0,0
KE.14_1_AC,0,0,0,0,0,0,0,0
KE.15_1_AC,0,0,0,0,0,0,0,0
KE.17_1_AC,0,0,0,0,0,0,0,0
KE.22_1_AC,0,0,0,0,0,0,0,0
KE.23_1_AC,0,0,0,0,0,0,0,0
KE.26_1_AC,0,0,0,0,0,0,0,0
KE.30_1_AC,0,0,0,0,0,0,0,0
KE.31_1_AC,0,0,0,0,0,0,0,0
KE.32_1_AC,0,0,0,0,0,0,0,0
KE.36_1_AC,0,0,0,0,0,0,0,0
KE.39_1_AC,0,0,0,0,0,0,0,0
KE.42_1_AC,0,0,0,0,0,0,0,0
KE.44_1_AC,0,0,0,0,0,0,0,0
KE.47_1_AC,0,0,0,0,0,0,0,0
KE.6_1_AC,0,0,0,0,0,0,0,0
